Nombre de mailles dans 10 cm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
8,1,2,2,3,4,5,6,6,7,8,9,10,10,11,12,13,14,14,15,16,17,18,18,19,20
9,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28
10,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20,22,23,24,25,26,28,29,30
11,1,3,4,5,7,8,9,10,12,13,14,16,17,18,20,21,22,23,25,26,27,29,30,31,33
12,1,3,4,6,7,8,10,11,13,14,15,17,18,20,21,22,24,25,27,28,29,31,32,34,35
13,2,3,5,6,8,9,11,12,14,15,17,18,20,21,23,24,26,27,29,30,32,33,35,36,38
14,2,3,5,6,8,10,11,13,14,16,18,19,21,22,24,26,27,29,30,32,34,35,37,38,40
15,2,3,5,7,9,10,12,14,15,17,19,20,22,24,26,27,29,31,32,34,36,37,39,41,43
16,2,4,5,7,9,11,13,14,16,18,20,22,23,25,27,29,31,32,34,36,38,40,41,43,45
17,2,4,6,8,10,11,13,15,17,19,21,23,25,27,29,30,32,34,36,38,40,42,44,46,48
18,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50
19,2,4,6,8,11,13,15,17,19,21,23,25,27,29,32,34,36,38,40,42,44,46,48,50,53
